[2025-02-08T14:33:59.945+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-08T14:33:56.962176+00:00 [queued]>
[2025-02-08T14:33:59.949+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-08T14:33:56.962176+00:00 [queued]>
[2025-02-08T14:33:59.949+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T14:33:59.949+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-02-08T14:33:59.949+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-02-08T14:33:59.955+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): upload_to_elasticsearch> on 2025-02-08 14:33:56.962176+00:00
[2025-02-08T14:33:59.958+0000] {standard_task_runner.py:52} INFO - Started process 278 to run task
[2025-02-08T14:33:59.959+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'pipeline_milestone_3', 'upload_to_elasticsearch', 'manual__2025-02-08T14:33:56.962176+00:00', '--job-id', '84', '--raw', '--subdir', 'DAGS_FOLDER/ml_pipeline.py', '--cfg-path', '/tmp/tmppcgen1me', '--error-file', '/tmp/tmptwqdvudw']
[2025-02-08T14:33:59.960+0000] {standard_task_runner.py:80} INFO - Job 84: Subtask upload_to_elasticsearch
[2025-02-08T14:33:59.983+0000] {task_command.py:371} INFO - Running <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-08T14:33:56.962176+00:00 [running]> on host fac8a5123a60
[2025-02-08T14:34:00.011+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Azka
AIRFLOW_CTX_DAG_ID=pipeline_milestone_3
AIRFLOW_CTX_TASK_ID=upload_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-02-08T14:33:56.962176+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-02-08T14:33:56.962176+00:00
[2025-02-08T14:34:00.027+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.015s]
[2025-02-08T14:34:00.028+0000] {logging_mixin.py:115} INFO - Connected to Elasticsearch
[2025-02-08T14:34:00.229+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.193s]
[2025-02-08T14:34:00.234+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.005s]
[2025-02-08T14:34:00.238+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.003s]
[2025-02-08T14:34:00.241+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.003s]
