[2025-02-09T16:10:03.716+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-09T16:10:00.167983+00:00 [queued]>
[2025-02-09T16:10:03.721+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-09T16:10:00.167983+00:00 [queued]>
[2025-02-09T16:10:03.721+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-02-09T16:10:03.721+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-02-09T16:10:03.721+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-02-09T16:10:03.728+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): upload_to_elasticsearch> on 2025-02-09 16:10:00.167983+00:00
[2025-02-09T16:10:03.731+0000] {standard_task_runner.py:52} INFO - Started process 734 to run task
[2025-02-09T16:10:03.733+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'pipeline_milestone_3', 'upload_to_elasticsearch', 'manual__2025-02-09T16:10:00.167983+00:00', '--job-id', '93', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_azka_irsyad_DAG.py', '--cfg-path', '/tmp/tmpdlive9td', '--error-file', '/tmp/tmphzamvcib']
[2025-02-09T16:10:03.734+0000] {standard_task_runner.py:80} INFO - Job 93: Subtask upload_to_elasticsearch
[2025-02-09T16:10:03.770+0000] {task_command.py:371} INFO - Running <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-09T16:10:00.167983+00:00 [running]> on host fac8a5123a60
[2025-02-09T16:10:03.807+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Azka
AIRFLOW_CTX_DAG_ID=pipeline_milestone_3
AIRFLOW_CTX_TASK_ID=upload_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-02-09T16:10:00.167983+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-02-09T16:10:00.167983+00:00
[2025-02-09T16:10:03.833+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.023s]
[2025-02-09T16:10:03.833+0000] {logging_mixin.py:115} INFO - Connected to Elasticsearch
[2025-02-09T16:10:03.899+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.050s]
[2025-02-09T16:10:03.903+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.004s]
[2025-02-09T16:10:03.907+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.003s]
[2025-02-09T16:10:03.909+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-09T16:10:03.911+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-09T16:10:03.914+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-09T16:10:03.916+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-09T16:10:03.919+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.003s]
[2025-02-09T16:10:03.920+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-09T16:10:03.923+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.003s]
