[2025-02-10T08:25:48.373+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-10T08:25:45.287625+00:00 [queued]>
[2025-02-10T08:25:48.377+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-10T08:25:45.287625+00:00 [queued]>
[2025-02-10T08:25:48.377+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-02-10T08:25:48.377+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-02-10T08:25:48.377+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-02-10T08:25:48.384+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): upload_to_elasticsearch> on 2025-02-10 08:25:45.287625+00:00
[2025-02-10T08:25:48.388+0000] {standard_task_runner.py:52} INFO - Started process 418 to run task
[2025-02-10T08:25:48.390+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'pipeline_milestone_3', 'upload_to_elasticsearch', 'manual__2025-02-10T08:25:45.287625+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_azka_irsyad_DAG.py', '--cfg-path', '/tmp/tmps6xz3ezn', '--error-file', '/tmp/tmpjsalck6v']
[2025-02-10T08:25:48.391+0000] {standard_task_runner.py:80} INFO - Job 15: Subtask upload_to_elasticsearch
[2025-02-10T08:25:48.428+0000] {task_command.py:371} INFO - Running <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-10T08:25:45.287625+00:00 [running]> on host c7bd35cc3dd3
[2025-02-10T08:25:48.465+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Azka
AIRFLOW_CTX_DAG_ID=pipeline_milestone_3
AIRFLOW_CTX_TASK_ID=upload_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-02-10T08:25:45.287625+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-02-10T08:25:45.287625+00:00
[2025-02-10T08:25:48.471+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.004s]
[2025-02-10T08:25:48.471+0000] {logging_mixin.py:115} INFO - Connected to Elasticsearch
[2025-02-10T08:25:48.513+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.023s]
[2025-02-10T08:25:48.517+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.003s]
[2025-02-10T08:25:48.521+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.003s]
[2025-02-10T08:25:48.523+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-10T08:25:48.526+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-10T08:25:48.527+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-10T08:25:48.529+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-10T08:25:48.532+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-10T08:25:48.533+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:25:48.535+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-10T08:25:48.539+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.004s]
[2025-02-10T08:25:48.540+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:25:48.542+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:25:48.543+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
