[2025-02-10T08:33:36.241+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-10T08:33:32.013141+00:00 [queued]>
[2025-02-10T08:33:36.246+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-10T08:33:32.013141+00:00 [queued]>
[2025-02-10T08:33:36.246+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-02-10T08:33:36.246+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-02-10T08:33:36.246+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-02-10T08:33:36.252+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): upload_to_elasticsearch> on 2025-02-10 08:33:32.013141+00:00
[2025-02-10T08:33:36.258+0000] {standard_task_runner.py:52} INFO - Started process 517 to run task
[2025-02-10T08:33:36.260+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'pipeline_milestone_3', 'upload_to_elasticsearch', 'manual__2025-02-10T08:33:32.013141+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_azka_irsyad_DAG.py', '--cfg-path', '/tmp/tmp7qvxtb31', '--error-file', '/tmp/tmpxk29qylc']
[2025-02-10T08:33:36.261+0000] {standard_task_runner.py:80} INFO - Job 18: Subtask upload_to_elasticsearch
[2025-02-10T08:33:36.290+0000] {task_command.py:371} INFO - Running <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch manual__2025-02-10T08:33:32.013141+00:00 [running]> on host c7bd35cc3dd3
[2025-02-10T08:33:36.328+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Azka
AIRFLOW_CTX_DAG_ID=pipeline_milestone_3
AIRFLOW_CTX_TASK_ID=upload_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-02-10T08:33:32.013141+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-02-10T08:33:32.013141+00:00
[2025-02-10T08:33:36.339+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.009s]
[2025-02-10T08:33:36.340+0000] {logging_mixin.py:115} INFO - Connected to Elasticsearch
[2025-02-10T08:33:36.595+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.241s]
[2025-02-10T08:33:36.599+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.003s]
[2025-02-10T08:33:36.601+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-10T08:33:36.603+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.606+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-10T08:33:36.607+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-10T08:33:36.609+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.610+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.612+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.614+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.616+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.617+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.618+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.620+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.621+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.623+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.624+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.625+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.626+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.627+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.629+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.630+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.631+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
[2025-02-10T08:33:36.632+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.001s]
