[2025-02-09T11:51:39.310+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch scheduled__2025-02-08T00:00:00+00:00 [queued]>
[2025-02-09T11:51:39.314+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch scheduled__2025-02-08T00:00:00+00:00 [queued]>
[2025-02-09T11:51:39.314+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-02-09T11:51:39.314+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-02-09T11:51:39.314+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-02-09T11:51:39.320+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): upload_to_elasticsearch> on 2025-02-08 00:00:00+00:00
[2025-02-09T11:51:39.323+0000] {standard_task_runner.py:52} INFO - Started process 208 to run task
[2025-02-09T11:51:39.325+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'pipeline_milestone_3', 'upload_to_elasticsearch', 'scheduled__2025-02-08T00:00:00+00:00', '--job-id', '88', '--raw', '--subdir', 'DAGS_FOLDER/ml_pipeline.py', '--cfg-path', '/tmp/tmpmlucbexl', '--error-file', '/tmp/tmpjobd0mw8']
[2025-02-09T11:51:39.325+0000] {standard_task_runner.py:80} INFO - Job 88: Subtask upload_to_elasticsearch
[2025-02-09T11:51:39.351+0000] {task_command.py:371} INFO - Running <TaskInstance: pipeline_milestone_3.upload_to_elasticsearch scheduled__2025-02-08T00:00:00+00:00 [running]> on host fac8a5123a60
[2025-02-09T11:51:39.380+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Azka
AIRFLOW_CTX_DAG_ID=pipeline_milestone_3
AIRFLOW_CTX_TASK_ID=upload_to_elasticsearch
AIRFLOW_CTX_EXECUTION_DATE=2025-02-08T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2025-02-08T00:00:00+00:00
[2025-02-09T11:51:39.386+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.005s]
[2025-02-09T11:51:39.386+0000] {logging_mixin.py:115} INFO - Connected to Elasticsearch
[2025-02-09T11:51:39.417+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.022s]
[2025-02-09T11:51:39.420+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.003s]
[2025-02-09T11:51:39.422+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
[2025-02-09T11:51:39.425+0000] {base.py:271} INFO - POST http://elasticsearch:9200/milestone3_clean_data/_doc [status:201 request:0.002s]
